Provincia,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
SALTA,True,False,False,True,True,True,True,True,False
SALTA,False,False,False,True,True,False,True,False,True
SALTA,False,False,False,True,True,True,True,True,True
SALTA,False,False,False,True,True,False,True,False,False
SALTA,False,False,False,False,False,False,False,False,False
SALTA,False,False,False,True,False,False,False,True,False
SALTA,False,False,False,False,False,False,False,True,False
SALTA,False,False,False,False,True,False,False,True,False
SALTA,True,False,False,False,True,True,True,True,True
SALTA,False,False,False,True,True,False,True,True,True
SALTA,False,False,False,False,False,False,False,True,False
SALTA,False,False,False,True,False,False,True,True,True
SALTA,False,False,False,True,True,False,True,True,True
SALTA,False,False,False,True,False,False,False,True,True
SALTA,False,False,False,True,True,False,True,True,True
SALTA,True,False,False,True,True,True,True,False,True
SALTA,False,False,False,True,True,False,False,False,True
SALTA,False,False,False,True,False,False,False,False,False
SALTA,False,False,False,True,True,False,False,False,True
SALTA,False,False,False,False,False,False,False,False,False
SALTA,True,False,False,True,True,True,True,False,True
SALTA,True,False,False,True,True,True,True,False,True
SALTA,False,False,False,True,False,False,False,False,False
SALTA,False,False,False,False,False,False,True,False,False
SALTA,True,False,False,True,True,False,True,True,False
SALTA,False,False,False,True,True,False,True,True,True
SALTA,False,False,False,False,True,False,True,True,True
SALTA,False,True,False,False,True,True,True,True,True
SALTA,False,False,False,True,True,False,True,False,False
SANTA CRUZ,False,False,False,True,True,True,False,True,True
SANTA CRUZ,False,False,False,True,True,True,False,True,True
SANTA CRUZ,True,False,True,False,True,True,True,False,True
SANTA CRUZ,False,False,False,False,False,False,False,False,True
SANTA CRUZ,False,False,False,True,True,True,True,True,True
SANTA CRUZ,False,False,False,False,False,False,False,False,True
SANTA CRUZ,False,False,False,False,True,False,False,False,False
SANTA CRUZ,False,False,False,False,False,True,False,False,True
SANTA CRUZ,False,True,True,True,True,True,True,False,True
SANTA CRUZ,False,False,False,False,False,False,True,False,False
SANTA CRUZ,False,False,False,False,True,True,True,False,True
