Año,Trimestre,Provincia,accesos_%home_prov,TrimestreAbs,Banda ancha fija,Dial up
2017,3,LA RIOJA,51.47,15,52,17.0
2017,3,MENDOZA,35.7,15,191,2.0
2017,3,MISIONES,30.21,15,100,0.0
2017,3,NEUQUÉN,60.83,15,114,2.0
2017,3,RÍO NEGRO,48.52,15,106,1.0
2017,3,SALTA,39.84,15,133,1.0
2017,3,SAN JUAN,32.37,15,62,660.0
2017,3,SAN LUIS,15.48,15,21,311.0
2017,3,SANTA CRUZ,33.29,15,33,468.0
2017,3,SANTA FE,60.91,15,662,256.0
2017,3,SANTIAGO DEL ESTERO,35.12,15,83,2.0
2017,3,TIERRA DEL FUEGO,65.74,15,31,583.0
2017,3,TUCUMÁN,39.7,15,161,33.0
2017,2,BUENOS AIRES,56.27,14,3,11.0
2017,2,CAPITAL FEDERAL,124.06,14,2,8.0
2017,2,CATAMARCA,25.98,14,27,13.0
2017,2,CHACO,29.05,14,91,14.0
2017,2,CHUBUT,35.55,14,62,2.0
2017,2,CÓRDOBA,58.97,14,658,133.0
2017,2,CORRIENTES,31.39,14,90,12.0
2017,2,ENTRE RÍOS,45.39,14,183,57.0
2017,2,FORMOSA,19.97,14,30,0.0
